 (Half Day),(Demi-Journée),
 - Net,- Net,
 Currently no stock available in any warehouse,"Actuellement, aucun stock disponible dans aucun entrepôt",
 Purchase Value,Valeur d'achat,
 days.,jours.,
 or ,ou,
 performing either one below:,effectuer l’une des actions suivantes,
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","La conservation d'un échantillon de {0} dépend du lot. Veuillez sélectionner ""A un Numéro de Lot"" pour conserver un échantillon de l'article",
"""Customer Provided Item"" cannot be Purchase Item also",Un 'article fourni par le client' ne peut être également un article d'achat,
"""Customer Provided Item"" cannot have Valuation Rate",Un 'article fourni par le client' ne peut pas avoir de taux de valorisation,
"""From date"" can not be greater than or equal to ""To date""",La date de début ne peut pas être plus grande que la date de fin,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",'Est un Actif Immobilisé’ doit être coché car il existe une entrée d’Actif pour cet article,
%  Delivered,% Livré,
% Amount Billed,% facturé,
% Billed,% Facturé,
% Complete Method,Méthode de calcul de l'avancement,
% Completed,% terminés,
% Installed,% Installé,
% Of Grand Total,% du total général,
% Ordered,% Commandé,
% Progress,% de Progression,
% Received,% Reçu,
% of materials billed against this Sales Order,% de matériaux facturés pour cette Commande Client,
% of materials delivered against this Delivery Note,% de matériaux livrés pour ce Bon de livraison,
% of materials delivered against this Sales Order,% de matériaux livrés pour cette Commande Client,
'Actual Start Date' can not be greater than 'Actual End Date',"""Date de Début Réelle"" ne peut être postérieure à ""Date de Fin Réelle""",
'Based On' and 'Group By' can not be same,'Basé sur' et 'Groupé par' ne peuvent pas être identiques,
'Date' is required,La 'date' est obligatoire,
'Days Since Last Order' must be greater than or equal to zero,'Jours Depuis La Dernière Commande' doit être supérieur ou égal à zéro,
'Entries' cannot be empty,'Entrées' ne peuvent pas être vides,
'Expected Start Date' can not be greater than 'Expected End Date','Date de Début Prévue' ne peut pas être postérieure à 'Date de Fin Prévue',
'From Date' is required,'Date début' est requise,
'From Date' must be after 'To Date',La ‘Date de Début’ doit être antérieure à la ‘Date de Fin’,
'Has Serial No' can not be 'Yes' for non-stock item,'A un Numéro de Série' ne peut pas être 'Oui' pour un article hors-stock,
'Opening','Ouverture',
'To Case No.' cannot be less than 'From Case No.','Au Cas N°’ ne peut pas être inférieur à ‘Du Cas N°’,
'To Date' is required,'Date de Fin' est requise,
'Total','Total',
'Update Stock' can not be checked because items are not delivered via {0},'Mettre à Jour le Stock' ne peut pas être coché car les articles ne sont pas livrés par {0},
'Update Stock' cannot be checked for fixed asset sale,'Mettre à Jour Le Stock’ ne peut pas être coché pour la vente d'actifs immobilisés,
'employee_field_value' and 'timestamp' are required.,'employee_field_value' et 'timestamp' sont obligatoires.,
(Forecast),(Prévision),
(Half Day),(Demi-journée),
(Hour Rate / 60) * Actual Operation Time,(Tarif Horaire / 60) * Temps Réel d’Opération,
(including),(compris),
) for {0},) pour {0},
* Will be calculated in the transaction.,* Sera calculé lors de la transaction.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Exercice** représente un Exercice Financier. Toutes les écritures comptables et autres transactions majeures sont suivis en **Exercice**.,
